w2024000, Eren Yeager, 2003-03-02, Male, eren@gmail.com, +94-778569326, 96.0, -1.0, -1.0
w2024001, Naruto Uzumaki, 2000-03-06, Male, naruto@outlook.com, +94-778523698, 62.0, 65.0, 45.0
w2024002, Leah Robinson, 2003-08-27, Female, leahrobinson27@gmail.com, +94-774589632, -1.0, -1.0, -1.0
w2024003, Dilani Villavarayen, 1983-04-20, Female, dvillavarayen20@gmial.com, +94-778546932, -1.0, -1.0, -1.0
w2024004, Monkey Luffy, 2001-08-03, Male, luffy@gmail.com, +94-778569326, -1.0, -1.0, -1.0
w2024005, Roranoa Zoro, 2002-06-02, Male, zoro@gmail.com, +94-778569856, 52.0, 62.0, 85.0
w2024006, Don Zoyza, 1999-05-02, Male, donz@yahoo.com, +94-774589656, -1.0, -1.0, -1.0
w2024007, Martin Roy, 1998-05-03, Male, martin_r@yahoo.com, +94-778569326, 85.0, 86.0, 87.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
e, e, e, e, e, e, -1.0, -1.0, -1.0
